date,11th_Street_Congestion_Index,11th_Street_Congestion_Length,11th_Street_average_speed,Eight_Ke_line_Congestion_Index,Eight_Ke_line_Congestion_Length,Eight_Ke_line_average_speed,Binsheng_Road_Congestion_Index,Binsheng_Road_Congestion_Length,Binsheng_Road_average_speed
2024/1/22 0:00,1.051,0,34.157,1.121,0.00,30.836,1.071,0.00,30.098
2024/1/22 0:05,1.071,0,33.537,1.130,0.00,30.581,1.063,0.00,30.322
2024/1/22 0:10,1.077,0,33.339,1.126,0.00,30.686,1.065,0.00,30.273
2024/1/22 0:15,1.074,0,33.427,1.071,0.00,32.268,1.073,0.00,30.045
2024/1/22 0:20,1.084,0,33.117,1.032,0.00,33.480,1.069,0.00,30.157
2024/1/22 0:25,1.038,0,34.579,1.060,0.04,32.604,1.067,0.00,30.199
2024/1/22 0:30,1.032,0,34.805,1.057,0.00,32.698,1.070,0.00,30.127
2024/1/22 0:35,1.099,0,32.681,1.106,0.00,31.235,1.073,0.00,30.037
2024/1/22 0:40,1.091,0,32.908,1.133,0.00,30.486,1.070,0.00,30.140
2024/1/22 0:45,1.042,0,34.473,1.096,0.00,31.529,1.052,0.00,30.631
2024/1/22 0:50,1.072,0,33.482,1.090,0.00,31.712,1.054,0.00,30.582
2024/1/22 0:55,1.119,0,32.087,1.084,0.00,31.876,1.048,0.00,30.768
2024/1/22 1:00,1.097,0,32.74,1.060,0.00,32.597,1.046,0.00,30.806
2024/1/22 1:05,1.079,0,33.275,1.081,0.00,31.960,1.055,0.00,30.550
2024/1/22 1:10,1.063,0,33.79,1.132,0.00,30.536,1.067,0.00,30.206
2024/1/22 1:15,1.039,0,34.554,1.096,0.00,31.526,1.062,0.00,30.361
2024/1/22 1:20,1.01,0,35.559,1.053,0.00,32.814,1.064,0.00,30.301
2024/1/22 1:25,1.008,0,35.635,1.115,0.00,30.978,1.046,0.00,30.824
2024/1/22 1:30,1.031,0,34.839,1.140,0.00,30.307,1.055,0.00,30.561
2024/1/22 1:35,1.028,0,34.945,1.097,0.00,31.489,1.064,0.00,30.300
2024/1/22 1:40,1.036,0,34.66,1.068,0.00,32.365,1.067,0.00,30.220
2024/1/22 1:45,1.021,0,35.168,1.057,0.00,32.690,1.042,0.00,30.942
2024/1/22 1:50,1.002,0,35.843,1.053,0.00,32.802,1.037,0.00,31.092
2024/1/22 1:55,1.019,0,35.241,1.062,0.00,32.548,1.042,0.00,30.940
2024/1/22 2:00,1.045,0,34.373,1.103,0.00,31.328,1.045,0.00,30.850
2024/1/22 2:05,1.04,0,34.515,1.097,0.00,31.502,1.039,0.00,31.031
2024/1/22 2:10,1.012,0,35.47,1.051,0.00,32.882,1.066,0.00,30.252
2024/1/22 2:15,1.025,0,35.028,1.000,0.00,35.506,1.056,0.00,30.514
2024/1/22 2:20,1.04,0,34.533,1.021,0.00,33.827,1.056,0.00,30.538
2024/1/22 2:25,1.042,0,34.457,1.042,0.00,33.150,1.040,0.00,30.990
2024/1/22 2:30,1.053,0,34.114,1.045,0.00,33.069,1.016,0.00,31.719
2024/1/22 2:35,1.038,0,34.603,1.051,0.00,32.876,1.030,0.00,31.312
2024/1/22 2:40,1.019,0,35.224,1.053,0.00,32.810,1.018,0.00,31.665
2024/1/22 2:45,1.02,0,35.192,1.046,0.00,33.045,1.048,0.00,30.750
2024/1/22 2:50,1.034,0,34.723,1.056,0.00,32.711,1.048,0.00,30.748
2024/1/22 2:55,1.037,0,34.618,1.066,0.00,32.420,1.052,0.00,30.648
2024/1/22 3:00,1.037,0,34.64,1.088,0.00,31.753,1.023,0.00,31.504
2024/1/22 3:05,1.024,0,35.074,1.116,0.00,30.954,1.008,0.00,31.982
2024/1/22 3:10,1.024,0,35.06,1.120,0.00,30.854,1.031,0.00,31.270
2024/1/22 3:15,1.023,0,35.091,1.097,0.00,31.495,1.026,0.00,31.421
2024/1/22 3:20,1.021,0,35.161,1.096,0.00,31.534,1.024,0.00,31.476
2024/1/22 3:25,1.045,0,34.345,1.073,0.00,32.200,1.024,0.00,31.488
2024/1/22 3:30,1.051,0,34.163,1.037,0.00,33.313,1.039,0.00,31.013
2024/1/22 3:35,1.057,0,33.966,1.027,0.00,33.653,1.035,0.00,31.141
2024/1/22 3:40,1.041,0,34.485,1.053,0.00,32.809,1.025,0.00,31.442
2024/1/22 3:45,1.041,0,34.48,1.075,0.00,32.156,1.017,0.00,31.696
2024/1/22 3:50,1.044,0,34.384,1.099,0.00,31.436,1.029,0.00,31.314
2024/1/22 3:55,1.025,0,35.036,1.111,0.00,31.102,1.042,0.00,30.936
2024/1/22 4:00,1.005,0,35.725,1.106,0.00,31.237,1.048,0.00,30.762
2024/1/22 4:05,1.011,0,35.517,1.057,0.00,32.680,1.044,0.00,30.870
2024/1/22 4:10,1.017,0,35.295,1.024,0.00,33.741,1.039,0.00,31.018
2024/1/22 4:15,1.055,0,34.044,1.024,0.00,33.741,1.049,0.00,30.729
2024/1/22 4:20,1.079,0,33.289,1.024,0.00,33.741,1.060,0.00,30.423
2024/1/22 4:25,1.07,0,33.57,1.024,0.00,33.741,1.070,0.00,30.130
2024/1/22 4:30,1.024,0,35.065,1.024,0.00,33.741,1.090,0.00,29.566
2024/1/22 4:35,1.006,0,35.703,1.045,0.04,33.063,1.065,0.00,30.278
2024/1/22 4:40,1.012,0,35.477,1.060,0.00,32.605,1.040,0.00,30.986
2024/1/22 4:45,1.035,0,34.68,1.086,0.00,31.822,1.043,0.00,30.896
2024/1/22 4:50,1.05,0,34.208,1.094,0.00,31.572,1.020,0.00,31.594
2024/1/22 4:55,1.029,0,34.894,1.056,0.00,32.737,1.022,0.00,31.527
2024/1/22 5:00,1,0,36.06,1.023,0.00,33.780,1.041,0.00,30.971
2024/1/22 5:05,1,0,36.139,1.055,0.00,32.758,1.028,0.00,31.372
2024/1/22 5:10,1,0,36.1,1.078,0.00,32.048,1.040,0.00,31.003
2024/1/22 5:15,1,0,36.029,1.055,0.00,32.768,1.041,0.00,30.961
2024/1/22 5:20,1.025,0,35.039,1.076,0.00,32.112,1.039,0.00,31.036
2024/1/22 5:25,1.027,0,34.959,1.083,0.00,31.919,1.020,0.00,31.597
2024/1/22 5:30,1.035,0,34.699,1.046,0.00,33.038,1.037,0.00,31.073
2024/1/22 5:35,1.083,0,33.168,1.049,0.00,32.929,1.039,0.00,31.025
2024/1/22 5:40,1.138,0,31.556,1.102,0.00,31.346,1.034,0.00,31.176
2024/1/22 5:45,1.059,0,33.914,1.144,0.00,30.216,1.045,0.00,30.840
2024/1/22 5:50,1,0,36.314,1.135,0.00,30.435,1.035,0.00,31.135
2024/1/22 5:55,1.073,0,33.474,1.128,0.00,30.625,1.034,0.00,31.168
2024/1/22 6:00,1.134,0,31.658,1.129,0.00,30.597,1.049,0.00,30.720
2024/1/22 6:05,1.094,0,32.821,1.119,0.00,30.875,1.034,0.00,31.181
2024/1/22 6:10,1.054,0,34.068,1.145,0.00,30.179,1.050,0.00,30.712
2024/1/22 6:15,1.096,0,32.763,1.147,0.00,30.123,1.061,0.00,30.389
2024/1/22 6:20,1.156,0,31.069,1.140,0.01,30.313,1.075,0.00,29.980
2024/1/22 6:25,1.166,0,30.798,1.125,0.00,30.704,1.087,0.00,29.646
2024/1/22 6:30,1.176,0,30.542,1.116,0.00,30.972,1.111,0.00,29.017
2024/1/22 6:35,1.163,0,30.866,1.120,0.00,30.858,1.126,0.00,28.638
2024/1/22 6:40,1.109,0,32.378,1.125,0.00,30.721,1.091,0.00,29.538
2024/1/22 6:45,1.072,0,33.501,1.130,0.00,30.575,1.073,0.00,30.041
2024/1/22 6:50,1.067,0,33.667,1.142,0.00,30.254,1.108,0.00,29.096
2024/1/22 6:55,1.072,0,33.509,1.147,0.00,30.133,1.114,0.00,28.940
2024/1/22 7:00,1.099,0,32.671,1.128,0.00,30.622,1.096,0.00,29.418
2024/1/22 7:05,1.109,0,32.385,1.130,0.00,30.581,1.086,0.00,29.685
2024/1/22 7:10,1.104,0,32.538,1.127,0.00,30.666,1.091,0.00,29.539
2024/1/22 7:15,1.101,0,32.608,1.123,0.00,30.779,1.111,0.00,29.021
2024/1/22 7:20,1.105,0,32.482,1.117,0.00,30.935,1.111,0.00,29.018
2024/1/22 7:25,1.101,0,32.608,1.119,0.00,30.887,1.115,0.00,28.900
2024/1/22 7:30,1.057,0,33.971,1.127,0.00,30.654,1.115,0.00,28.902
2024/1/22 7:35,1.084,0,33.118,1.130,0.00,30.591,1.105,0.00,29.161
2024/1/22 7:40,1.07,0,33.554,1.150,0.00,30.039,1.113,0.00,28.971
2024/1/22 7:45,1.075,0,33.395,1.257,0.12,27.495,1.115,0.00,28.902
2024/1/22 7:50,1.102,0,32.575,1.318,0.15,26.217,1.245,0.18,25.899
2024/1/22 7:55,1.107,0,32.435,1.143,0.00,30.229,1.293,0.18,24.930
2024/1/22 8:00,1.118,0,32.121,1.135,0.00,30.457,1.277,0.36,25.251
2024/1/22 8:05,1.091,0,32.926,1.121,0.00,30.820,1.198,0.24,26.903
2024/1/22 8:10,1.092,0,32.88,1.117,0.00,30.946,1.425,0.44,22.621
2024/1/22 8:15,1.091,0,32.899,1.135,0.00,30.444,1.188,0.09,27.146
2024/1/22 8:20,1.081,0,33.215,1.148,0.00,30.104,1.150,0.04,28.028
2024/1/22 8:25,1.102,0,32.586,1.131,0.00,30.540,1.113,0.01,28.959
2024/1/22 8:30,1.084,0,33.112,1.135,0.00,30.452,1.091,0.00,29.555
2024/1/22 8:35,1.077,0,33.342,1.130,0.00,30.577,1.103,0.00,29.216
2024/1/22 8:40,1.086,0,33.049,1.128,0.00,30.629,1.081,0.00,29.824
2024/1/22 8:45,1.088,0,32.995,1.125,0.00,30.713,1.093,0.00,29.497
2024/1/22 8:50,1.08,0,33.241,1.122,0.00,30.784,1.097,0.00,29.396
2024/1/22 8:55,1.093,0,32.843,1.110,0.00,31.125,1.086,0.01,29.694
2024/1/22 9:00,1.086,0,33.076,1.124,0.00,30.730,1.127,0.01,28.610
2024/1/22 9:05,1.085,0,33.102,1.125,0.00,30.707,1.141,0.00,28.251
2024/1/22 9:10,1.084,0,33.126,1.148,0.02,30.093,1.269,0.20,25.393
2024/1/22 9:15,1.096,0,32.752,1.143,0.00,30.243,1.197,0.10,26.940
2024/1/22 9:20,1.108,0,32.401,1.136,0.00,30.430,1.270,0.20,25.376
2024/1/22 9:25,1.093,0,32.849,1.139,0.00,30.326,1.165,0.05,27.681
2024/1/22 9:30,1.09,0,32.928,1.131,0.00,30.562,1.119,0.00,28.814
2024/1/22 9:35,1.101,0,32.614,1.117,0.00,30.944,1.126,0.00,28.622
2024/1/22 9:40,1.072,0,33.481,1.113,0.00,31.053,1.116,0.00,28.896
2024/1/22 9:45,1.081,0,33.226,1.137,0.00,30.403,1.124,0.00,28.682
